timestamp,renewable_kw,load_kw,price_import_per_kwh,price_export_per_kwh
2024-01-01 00:00:00,24.266289,127.346565,0.101618074,0.07621355
2024-01-01 00:15:00,21.93475,125.39738,0.09833731,0.07375298
2024-01-01 00:30:00,25.847729,129.78702,0.10288797,0.07716598
2024-01-01 00:45:00,26.532887,122.96689,0.10438012,0.07828509
2024-01-01 01:00:00,21.026133,129.92839,0.09894854,0.074211404
2024-01-01 01:15:00,22.570623,129.29782,0.09588959,0.07191719
2024-01-01 01:30:00,25.646715,129.30948,0.09417188,0.07062891
2024-01-01 01:45:00,24.942955,125.03961,0.103702754,0.077777065
2024-01-01 02:00:00,25.693804,120.78194,0.09545374,0.071590304
2024-01-01 02:15:00,24.140194,122.30498,0.1014881,0.07611607
2024-01-01 02:30:00,27.690355,122.47798,0.10310963,0.07733222
2024-01-01 02:45:00,27.538454,117.7597,0.0979948,0.073496096
2024-01-01 03:00:00,26.132061,124.332466,0.09933516,0.074501365
2024-01-01 03:15:00,28.237354,120.28153,0.10399617,0.07799713
2024-01-01 03:30:00,26.866577,113.31941,0.096767224,0.07257542
2024-01-01 03:45:00,24.127697,123.317406,0.09636115,0.07227086
2024-01-01 04:00:00,26.464907,115.0483,0.099062435,0.074296825
2024-01-01 04:15:00,23.657677,109.135216,0.10511165,0.07883374
2024-01-01 04:30:00,27.147936,109.02846,0.10644293,0.079832196
2024-01-01 04:45:00,25.07513,117.128395,0.09960487,0.07470365
2024-01-01 05:00:00,24.558477,117.29994,0.09715152,0.07286364
2024-01-01 05:15:00,23.289898,112.86069,0.10425646,0.078192346
2024-01-01 05:30:00,26.791908,112.927765,0.09332282,0.06999212
2024-01-01 05:45:00,23.705658,111.354836,0.100990444,0.07574283
2024-01-01 06:00:00,22.8002,107.568924,0.09982435,0.07486826
2024-01-01 06:15:00,27.802748,105.53026,0.10517532,0.07888149
2024-01-01 06:30:00,34.37681,105.27116,0.10558008,0.07918505
2024-01-01 06:45:00,38.782673,104.982864,0.09622989,0.07217242
2024-01-01 07:00:00,43.530987,98.03361,0.10067071,0.07550304
2024-01-01 07:15:00,48.115105,102.927574,0.09771758,0.07328819
2024-01-01 07:30:00,55.95944,104.87676,0.09882669,0.07412002
2024-01-01 07:45:00,55.14178,97.30628,0.102469556,0.076852165
2024-01-01 08:00:00,59.046066,96.01909,0.098660424,0.07399532
2024-01-01 08:15:00,62.378796,98.37308,0.100775704,0.075581774
2024-01-01 08:30:00,68.97708,93.12101,0.10382909,0.077871814
2024-01-01 08:45:00,73.52884,89.76627,0.10606065,0.07954548
2024-01-01 09:00:00,74.340645,99.00242,0.10115472,0.07586604
2024-01-01 09:15:00,75.94365,92.05249,0.100471064,0.075353295
2024-01-01 09:30:00,78.77509,93.44396,0.09557084,0.07167813
2024-01-01 09:45:00,84.25803,90.51476,0.106343195,0.0797574
2024-01-01 10:00:00,86.69799,97.72035,0.1019828,0.0764871
2024-01-01 10:15:00,88.26461,95.75857,0.1005449,0.075408675
2024-01-01 10:30:00,87.517876,91.19103,0.100340195,0.07525515
2024-01-01 10:45:00,90.68042,87.318954,0.10144261,0.07608196
2024-01-01 11:00:00,91.50743,90.61228,0.103087164,0.077315375
2024-01-01 11:15:00,92.455635,94.31915,0.1035822,0.07768665
2024-01-01 11:30:00,94.188354,92.90853,0.10644321,0.079832405
2024-01-01 11:45:00,93.00114,92.78226,0.10097075,0.075728066
2024-01-01 12:00:00,93.70097,93.46013,0.10701681,0.0802626
2024-01-01 12:15:00,91.94915,95.99045,0.104230896,0.07817317
2024-01-01 12:30:00,91.547,93.202736,0.099759474,0.07481961
2024-01-01 12:45:00,91.07364,95.65635,0.09333051,0.06999788
2024-01-01 13:00:00,85.43155,90.46387,0.10034225,0.07525669
2024-01-01 13:15:00,85.94009,105.24895,0.10623391,0.079675436
2024-01-01 13:30:00,83.578575,94.5842,0.09689895,0.072674215
2024-01-01 13:45:00,80.89662,97.28125,0.10032985,0.07524739
2024-01-01 14:00:00,79.00433,99.53794,0.100660875,0.07549566
2024-01-01 14:15:00,79.66116,96.48861,0.103768505,0.07782638
2024-01-01 14:30:00,71.805046,99.07359,0.09844875,0.073836565
2024-01-01 14:45:00,72.10086,99.98244,0.096522465,0.07239185
2024-01-01 15:00:00,63.2028,97.34385,0.10228001,0.07671001
2024-01-01 15:15:00,62.095016,103.79316,0.09702645,0.07276984
2024-01-01 15:30:00,59.09485,96.51481,0.09265798,0.06949349
2024-01-01 15:45:00,55.77178,111.22492,0.10736149,0.080521114
2024-01-01 16:00:00,51.69505,108.51314,0.103708126,0.077781096
2024-01-01 16:15:00,47.394344,109.04486,0.10753355,0.080650166
2024-01-01 16:30:00,40.526176,100.70396,0.10349605,0.07762204
2024-01-01 16:45:00,35.61547,105.65263,0.10272146,0.0770411
2024-01-01 17:00:00,33.49326,115.55738,0.18147814,0.1361086
2024-01-01 17:15:00,26.572859,127.78222,0.17925589,0.13444193
2024-01-01 17:30:00,19.543886,117.12824,0.18204844,0.13653633
2024-01-01 17:45:00,14.950939,117.6594,0.17778708,0.13334031
2024-01-01 18:00:00,10.504242,116.758644,0.17572309,0.13179232
2024-01-01 18:15:00,13.719553,112.39592,0.1786711,0.13400333
2024-01-01 18:30:00,13.414761,120.869,0.18516597,0.13887449
